duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,label
0.77,tcp,ftp,SF,521,185,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,1,151,440,0.08,0.25,0.07,0.04,0.75,0.02,0.1,158,77,0.25,0.13,0.0,0.24,0.79,0.38,0.08,0.04,neptune,1
0.4,tcp,ftp,S1,95,63,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,429,433,0.76,0.58,0.03,0.14,0.48,0.01,0.03,15,4,0.12,0.31,0.06,0.32,0.18,0.62,0.11,0.14,neptune,1
0.11,tcp,finger,SF,814,8,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,153,13,0.04,0.01,0.06,0.05,0.84,0.12,0.21,179,72,0.12,0.06,0.15,0.24,0.03,0.04,0.12,0.28,ipsweep,2
0.49,icmp,pop3,SF,145,206,0,0,0,2,1,1,5,0,0,0,2,0,3,0,0,0,123,331,0.41,0.39,0.13,0.25,0.32,0.01,0.05,50,36,0.25,0.11,0.02,0.2,0.18,0.75,0.02,0.06,neptune,1
1.01,tcp,dns,SF,4523,1609,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,336,442,0.01,0.03,0.04,0.01,0.76,0.13,0.1,125,82,0.82,0.1,0.02,0.11,0.11,0.11,0.11,0.07,normal,0
3.05,udp,http,RSTO,512,3676,0,0,0,11,1,1,2,0,0,0,1,0,3,0,0,0,422,328,0.08,0.06,0.04,0.38,0.99,0.06,0.21,56,119,0.75,0.02,0.01,0.21,0.24,0.07,0.07,0.06,normal,0
0.48,udp,ssh,SF,62,51,0,0,0,0,0,1,6,0,0,0,2,0,3,0,0,0,97,463,0.14,0.5,0.1,0.05,0.7,0.06,0.22,32,15,0.29,0.06,0.06,0.01,0.81,0.27,0.02,0.03,neptune,1
3.35,tcp,http,SF,16882,691,0,0,0,9,0,1,1,0,0,0,1,0,3,0,0,0,82,17,0.04,0.03,0.03,0.03,0.74,0.14,0.09,177,184,0.94,0.27,0.08,0.05,0.07,0.03,0.02,0.02,normal,0
0.2,tcp,ssh,SF,251,94,0,0,0,1,0,0,7,0,0,0,1,0,1,0,0,0,149,412,0.89,0.06,0.06,0.2,0.62,0.28,0.06,84,155,0.91,0.07,0.1,0.02,0.28,0.68,0.1,0.01,neptune,1
0.02,tcp,ftp,SF,480,350,0,0,0,0,0,1,7,0,0,0,0,0,2,0,0,0,441,383,0.38,0.67,0.11,0.04,0.85,0.01,0.04,189,44,0.45,0.14,0.07,0.02,0.88,0.49,0.05,0.02,smurf,1
1.0,udp,smtp,SF,4230,1212,0,0,0,11,0,1,2,0,0,0,0,0,2,0,0,0,218,164,0.07,0.21,0.03,0.07,0.99,0.07,0.07,108,156,0.79,0.14,0.1,0.03,0.03,0.1,0.04,0.03,normal,0
5.77,icmp,dns,SF,800,12530,0,0,0,15,0,1,2,0,0,0,2,0,4,0,0,0,300,396,0.06,0.01,0.1,0.32,0.98,0.09,0.2,171,121,0.96,0.04,0.23,0.03,0.09,0.09,0.13,0.04,normal,0
0.08,tcp,http,SF,219,51,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,457,324,0.99,0.09,0.3,0.3,0.49,0.07,0.06,159,186,0.64,0.08,0.01,0.24,0.73,0.34,0.13,0.03,neptune,1
1.86,tcp,smtp,S0,52,4305,0,0,0,16,3,1,1,0,0,0,2,0,0,0,0,0,442,219,0.09,0.57,0.23,0.12,0.99,0.08,0.12,213,184,1.0,0.28,0.01,0.06,0.08,0.02,0.02,0.11,normal,0
0.93,udp,smtp,SF,11303,88,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,0,213,433,0.14,0.02,0.2,0.1,0.79,0.15,0.1,200,255,0.91,0.1,0.22,0.02,0.01,0.01,0.08,0.1,normal,0
0.16,tcp,smtp,SF,46,112,0,0,0,1,0,1,5,0,0,0,1,0,4,0,0,0,451,3,0.27,0.36,0.09,0.03,0.76,0.05,0.16,168,176,0.54,0.06,0.04,0.04,0.55,0.4,0.14,0.29,neptune,1
4.93,tcp,pop3,SF,4211,6,0,0,0,6,0,1,1,0,0,0,1,0,3,0,0,0,200,31,0.04,0.04,0.05,0.02,0.87,0.01,0.09,239,133,0.94,0.04,0.01,0.01,0.38,0.06,0.2,0.01,normal,0
0.04,tcp,telnet,SF,860,348,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,260,382,0.03,0.13,0.12,0.07,0.1,0.19,0.04,189,159,0.67,0.09,0.24,0.17,0.16,0.17,0.23,0.02,guess_passwd,3
0.08,tcp,telnet,SF,1210,171,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,154,394,0.76,0.51,0.01,0.12,0.37,0.03,0.1,133,42,0.37,0.01,0.16,0.14,0.07,0.67,0.26,0.14,neptune,1
0.54,tcp,auth,SF,73,7620,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,193,335,0.13,0.03,0.04,0.1,0.63,0.03,0.11,216,107,0.83,0.09,0.02,0.03,0.03,0.03,0.02,0.03,normal,0
1.19,tcp,finger,SF,4259,310,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,146,9,0.04,0.03,0.16,0.07,0.79,0.02,0.04,98,236,0.91,0.03,0.03,0.06,0.11,0.2,0.05,0.32,normal,0
2.8,tcp,telnet,SF,1782,105,0,0,0,5,0,1,1,0,0,0,0,0,1,0,0,0,484,450,0.04,0.04,0.04,0.36,1.0,0.08,0.08,157,167,0.95,0.27,0.07,0.06,0.07,0.12,0.01,0.13,normal,0
0.17,tcp,auth,RSTR,2042,9126,0,0,0,18,0,1,2,0,0,0,1,0,0,0,0,0,233,394,0.12,0.02,0.06,0.01,0.96,0.08,0.15,210,12,0.64,0.07,0.14,0.07,0.0,0.17,0.02,0.01,normal,0
0.11,tcp,finger,SF,61,185,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,244,387,0.22,0.02,0.0,0.16,0.87,0.07,0.02,51,5,0.88,0.08,0.36,0.08,0.86,0.9,0.01,0.17,neptune,1
0.29,tcp,ftp,SF,50,32,0,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,16,227,0.19,0.88,0.09,0.2,0.51,0.07,0.28,17,19,0.59,0.02,0.32,0.05,0.37,0.61,0.07,0.03,neptune,1
2.85,tcp,domain_u,SF,1356,2015,0,0,0,4,0,1,1,0,0,0,2,0,4,0,0,0,398,506,0.14,0.27,0.03,0.25,0.97,0.13,0.28,53,92,0.43,0.16,0.01,0.05,0.0,0.05,0.06,0.01,normal,0
1.44,tcp,smtp,OTH,961,3350,0,0,0,10,0,1,0,0,0,0,1,0,2,0,0,1,48,86,0.06,0.0,0.06,0.14,0.96,0.02,0.1,224,135,1.0,0.07,0.03,0.11,0.05,0.24,0.03,0.0,normal,0
0.9,tcp,finger,SF,559,2968,0,2,0,17,0,1,0,0,0,0,2,0,3,0,0,0,364,223,0.07,0.2,0.03,0.01,0.97,0.01,0.0,240,138,0.93,0.02,0.19,0.2,0.06,0.24,0.13,0.2,normal,0
0.18,tcp,http,SF,1699,60,0,0,0,4,4,1,8,0,0,0,2,0,3,0,0,0,430,152,0.95,0.97,0.1,0.1,0.64,0.09,0.01,20,57,0.49,0.08,0.13,0.05,0.82,0.23,0.13,0.09,neptune,1
3.28,udp,finger,SF,19561,2720,0,0,0,11,0,1,2,0,0,0,2,0,1,0,0,0,90,232,0.28,0.15,0.13,0.08,0.83,0.07,0.07,71,166,0.73,0.04,0.09,0.01,0.12,0.04,0.26,0.08,normal,0
0.41,tcp,domain_u,RSTO,252,22,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,163,226,0.04,0.02,0.37,0.07,0.48,0.05,0.0,104,161,0.1,0.3,0.03,0.06,0.13,0.05,0.14,0.16,ipsweep,2
5.17,tcp,pop3,SF,6923,3901,0,0,0,18,2,1,1,0,0,0,2,0,0,0,0,0,237,138,0.12,0.04,0.02,0.26,0.89,0.07,0.2,97,140,0.98,0.06,0.09,0.22,0.14,0.04,0.04,0.09,normal,0
7.05,tcp,domain_u,SF,19379,3575,0,0,0,9,0,1,0,0,0,0,0,0,4,0,0,0,449,52,0.03,0.11,0.1,0.13,0.98,0.07,0.18,131,217,0.74,0.44,0.12,0.05,0.12,0.05,0.08,0.07,normal,0
3.41,udp,domain_u,SF,10183,4332,0,0,0,5,0,1,0,0,0,0,0,0,4,0,0,0,456,51,0.02,0.09,0.03,0.05,0.84,0.26,0.04,130,230,0.99,0.12,0.2,0.06,0.14,0.13,0.06,0.03,normal,0
5.4,tcp,http,SF,2120,4946,0,0,0,12,0,1,0,0,0,0,1,0,1,0,0,0,422,238,0.09,0.02,0.02,0.03,0.94,0.06,0.0,84,53,0.97,0.14,0.02,0.03,0.07,0.14,0.08,0.1,normal,0
2.47,tcp,private,SF,770,4334,0,0,0,6,0,1,0,0,0,0,1,0,4,0,0,0,111,271,0.51,0.01,0.24,0.02,0.93,0.01,0.07,8,154,0.99,0.18,0.03,0.08,0.02,0.21,0.08,0.13,normal,0
0.09,icmp,private,SF,51,86,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,405,205,0.06,0.24,0.26,0.03,0.37,0.02,0.24,189,70,0.24,0.33,0.23,0.08,0.36,0.02,0.33,0.05,portsweep,2
0.17,tcp,telnet,S0,154,145,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,450,331,0.07,0.33,0.07,0.01,0.83,0.03,0.05,139,20,0.42,0.02,0.06,0.01,0.01,0.08,0.01,0.02,ipsweep,2
2.91,tcp,telnet,SF,4494,2314,0,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,303,112,0.13,0.22,0.14,0.04,0.89,0.07,0.01,172,75,0.96,0.04,0.17,0.03,0.16,0.21,0.01,0.03,normal,0
0.08,udp,private,REJ,727,43,0,0,0,4,0,1,3,0,0,0,0,0,2,0,0,0,41,167,0.37,0.92,0.23,0.11,0.84,0.15,0.0,203,140,0.31,0.12,0.22,0.18,0.39,0.37,0.12,0.12,neptune,1
0.67,tcp,pop3,SF,2061,1473,0,0,0,16,0,1,2,0,0,0,1,0,4,0,0,0,321,324,0.07,0.02,0.03,0.12,0.74,0.13,0.03,38,231,1.0,0.02,0.01,0.03,0.17,0.02,0.01,0.07,normal,0
1.32,tcp,http,SF,945,4187,0,0,0,6,0,1,1,0,0,0,1,0,2,0,0,0,265,287,0.11,0.23,0.27,0.15,0.98,0.3,0.07,244,73,0.94,0.1,0.01,0.02,0.14,0.09,0.14,0.1,normal,0
2.95,tcp,smtp,SF,2389,2091,0,0,0,17,0,1,0,0,0,0,2,0,2,0,0,0,297,165,0.19,0.02,0.03,0.24,0.98,0.12,0.14,24,221,0.98,0.26,0.01,0.02,0.13,0.28,0.1,0.02,normal,0
0.62,icmp,auth,SF,1465,12074,0,0,0,8,0,1,1,0,0,0,0,0,4,0,0,0,287,470,0.01,0.05,0.02,0.0,0.59,0.11,0.14,177,175,0.84,0.01,0.08,0.23,0.14,0.01,0.28,0.07,normal,0
0.61,tcp,pop3,S3,200,3191,0,0,0,11,0,1,0,0,0,0,0,0,2,0,0,0,74,61,0.12,0.27,0.12,0.04,0.9,0.07,0.06,115,27,0.99,0.11,0.31,0.02,0.07,0.07,0.06,0.15,normal,0
0.26,tcp,smtp,SF,1444,3450,0,0,0,17,0,1,1,0,0,0,1,0,1,0,0,0,289,462,0.28,0.06,0.08,0.01,0.93,0.09,0.33,145,167,0.74,0.15,0.05,0.04,0.09,0.12,0.06,0.0,normal,0
0.07,tcp,http,SF,1214,149,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,277,229,0.18,0.62,0.16,0.02,0.5,0.05,0.03,198,159,0.44,0.21,0.08,0.07,0.22,0.37,0.12,0.01,pod,1
0.23,udp,http,SF,786,25,0,0,0,1,0,1,3,0,0,0,0,0,4,0,0,0,383,218,0.08,0.03,0.06,0.11,0.71,0.01,0.02,167,128,0.46,0.05,0.01,0.01,0.03,0.04,0.09,0.04,ipsweep,2
0.5,udp,smtp,SF,215,34,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,270,33,0.09,0.1,0.03,0.12,0.28,0.15,0.33,131,250,0.79,0.1,0.02,0.06,0.28,0.06,0.33,0.26,ftp_write,3
0.22,udp,domain_u,SF,260,11,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,407,411,0.05,0.43,0.03,0.19,0.89,0.02,0.13,205,95,0.06,0.12,0.04,0.28,0.58,0.11,0.19,0.01,neptune,1
0.59,tcp,http,SF,2675,3509,0,0,0,0,0,1,1,0,0,0,2,0,3,0,0,0,339,175,0.0,0.04,0.04,0.12,0.97,0.01,0.24,179,107,0.97,0.4,0.13,0.19,0.01,0.43,0.0,0.01,normal,0
1.47,tcp,telnet,S2,4614,2459,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,406,55,0.19,0.03,0.23,0.09,0.92,0.06,0.04,141,253,0.66,0.06,0.04,0.13,0.16,0.05,0.2,0.12,normal,0
0.14,tcp,ftp,S1,1181,83,0,0,0,1,0,0,2,0,0,0,2,0,4,0,0,0,324,25,0.05,0.09,0.07,0.17,0.04,0.02,0.06,234,112,0.95,0.16,0.1,0.03,0.04,0.19,0.06,0.14,ipsweep,2
1.36,udp,private,S1,3287,2540,0,0,0,2,0,1,1,0,0,0,2,0,3,0,0,0,358,393,0.08,0.04,0.09,0.03,0.86,0.08,0.18,173,235,0.65,0.0,0.05,0.01,0.13,0.06,0.2,0.03,normal,0
0.7,icmp,domain_u,S0,1343,32,0,0,0,2,0,1,1,0,0,0,2,0,3,0,0,1,171,250,0.04,0.73,0.04,0.0,0.39,0.05,0.01,149,204,0.47,0.16,0.28,0.05,0.43,0.57,0.19,0.16,neptune,1
1.78,tcp,smtp,SF,8749,774,0,0,0,11,0,1,1,0,0,0,0,0,4,0,0,0,21,494,0.19,0.2,0.24,0.01,0.9,0.06,0.13,179,70,0.84,0.02,0.07,0.01,0.01,0.18,0.24,0.12,normal,0
1.19,tcp,finger,S0,267,6468,0,0,0,5,0,1,0,0,0,0,2,0,3,0,0,0,188,254,0.01,0.07,0.22,0.09,0.94,0.05,0.04,151,117,0.75,0.0,0.19,0.05,0.09,0.03,0.15,0.06,normal,0
0.04,tcp,private,SF,145,76,0,0,0,2,0,1,1,0,0,0,1,0,2,0,0,0,59,181,0.49,0.82,0.19,0.24,0.27,0.16,0.03,93,117,0.72,0.04,0.0,0.04,1.0,0.13,0.29,0.02,neptune,1
0.84,tcp,imap,SF,672,2669,0,0,0,6,0,1,0,0,0,0,1,0,4,0,0,0,69,446,0.09,0.0,0.07,0.19,0.75,0.11,0.01,108,211,0.86,0.03,0.01,0.06,0.06,0.0,0.14,0.0,normal,0
0.35,tcp,dns,SF,905,177,0,0,0,1,0,0,9,0,0,0,0,0,4,0,0,0,300,150,0.35,0.45,0.09,0.01,0.16,0.02,0.01,100,40,0.51,0.15,0.09,0.21,0.07,0.05,0.1,0.11,smurf,1
0.35,udp,imap,SF,51,2951,0,0,0,8,0,1,1,0,0,0,2,0,2,0,0,0,308,479,0.05,0.01,0.08,0.27,0.95,0.17,0.07,102,168,0.85,0.22,0.08,0.06,0.3,0.06,0.01,0.04,normal,0
8.52,tcp,http,SF,6237,142,0,0,0,13,0,1,2,0,0,0,2,0,3,0,0,0,318,283,0.03,0.05,0.24,0.19,0.77,0.03,0.03,223,40,0.97,0.08,0.05,0.31,0.01,0.0,0.22,0.01,normal,0
0.08,tcp,ssh,S0,1144,283,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,492,307,0.52,1.0,0.1,0.09,0.73,0.07,0.15,232,25,0.98,0.08,0.01,0.06,0.44,0.8,0.17,0.19,smurf,1
0.14,tcp,private,SF,5455,1631,0,0,0,19,0,1,2,0,0,0,0,0,1,0,0,0,133,459,0.04,0.07,0.5,0.07,0.97,0.01,0.1,156,3,1.0,0.16,0.03,0.2,0.1,0.07,0.05,0.3,normal,0
1.43,udp,http,REJ,4365,12820,0,0,0,6,0,1,1,0,0,0,2,0,1,0,0,0,417,166,0.04,0.08,0.11,0.02,0.75,0.05,0.05,253,132,0.96,0.02,0.0,0.05,0.03,0.25,0.01,0.02,normal,0
0.0,udp,private,RSTO,250,116,0,0,0,4,0,0,9,0,0,0,0,0,3,0,0,0,156,74,0.02,0.06,0.03,0.03,0.25,0.06,0.14,44,253,0.25,0.05,0.14,0.07,0.22,0.64,0.03,0.13,neptune,1
0.2,icmp,smtp,SF,109,28,0,0,0,1,0,1,7,0,0,0,2,0,0,0,0,0,423,47,0.12,0.5,0.09,0.29,0.06,0.16,0.16,222,52,0.66,0.07,0.02,0.05,0.52,0.04,0.06,0.28,neptune,1
1.61,udp,ssh,SF,7302,124,0,0,0,15,0,1,1,0,0,0,1,0,3,0,0,0,300,276,0.1,0.11,0.02,0.15,0.95,0.03,0.29,247,77,0.93,0.17,0.18,0.0,0.1,0.01,0.07,0.1,normal,0
2.38,tcp,smtp,SF,5885,3043,0,0,0,17,0,1,2,0,0,0,1,0,2,0,0,0,239,234,0.2,0.27,0.09,0.03,0.91,0.08,0.42,126,251,0.96,0.07,0.01,0.02,0.16,0.07,0.09,0.05,normal,0
0.03,tcp,ftp,SF,46,223,0,0,0,3,0,0,5,1,1,4,2,1,2,0,0,0,351,13,0.04,0.07,0.09,0.11,0.97,0.07,0.08,177,68,0.68,0.01,0.06,0.06,0.09,0.07,0.23,0.02,rootkit,4
1.29,tcp,domain_u,S1,7821,1404,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,70,17,0.12,0.16,0.05,0.14,0.75,0.01,0.01,62,7,1.0,0.03,0.13,0.07,0.01,0.04,0.1,0.37,normal,0
0.55,icmp,http,SF,1420,124,0,0,0,4,0,0,7,0,0,0,2,0,1,0,0,0,108,303,0.34,0.14,0.15,0.06,0.1,0.0,0.07,150,196,0.56,0.02,0.25,0.02,0.06,0.58,0.18,0.05,neptune,1
0.97,udp,private,SF,459,123,0,0,0,4,0,1,3,0,0,0,1,0,3,0,0,0,154,183,0.02,0.03,0.09,0.04,0.79,0.07,0.1,37,162,0.49,0.04,0.03,0.09,0.01,0.09,0.21,0.19,portsweep,2
0.4,icmp,smtp,SF,266,209,0,0,0,2,0,1,1,0,0,0,2,0,2,0,0,0,438,325,0.08,0.0,0.04,0.13,0.47,0.04,0.04,216,107,0.2,0.04,0.09,0.06,0.02,0.12,0.02,0.29,guess_passwd,3
0.59,udp,private,SF,5015,4993,0,0,0,4,1,1,1,0,0,0,1,0,1,0,0,0,69,391,0.07,0.05,0.0,0.16,0.86,0.05,0.05,79,246,0.89,0.16,0.14,0.01,0.06,0.06,0.01,0.03,normal,0
0.65,udp,ftp,SF,38,378,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,444,117,0.6,0.45,0.04,0.04,0.2,0.02,0.09,178,111,0.09,0.07,0.13,0.16,0.83,0.13,0.03,0.05,teardrop,1
0.06,udp,http,SF,6,10,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,29,48,0.01,0.06,0.15,0.1,0.21,0.05,0.04,48,112,0.62,0.04,0.5,0.05,0.04,0.22,0.17,0.08,portsweep,2
5.2,icmp,finger,SF,6456,386,0,0,0,10,0,1,2,0,0,0,2,0,0,0,0,0,301,378,0.01,0.1,0.11,0.12,0.92,0.35,0.06,101,44,0.9,0.01,0.04,0.14,0.31,0.01,0.35,0.01,normal,0
1.08,tcp,imap,SF,4613,221,0,0,0,6,0,1,1,0,0,0,1,0,3,0,0,0,215,375,0.0,0.22,0.12,0.06,0.93,0.13,0.28,187,15,0.99,0.06,0.16,0.02,0.28,0.04,0.07,0.04,normal,0
0.21,tcp,pop3,SF,1200,73,0,0,0,4,0,0,1,0,0,0,2,0,3,0,0,0,506,8,0.11,0.34,0.11,0.06,0.54,0.13,0.01,87,202,0.04,0.0,0.08,0.11,0.02,0.03,0.11,0.02,nmap,2
0.59,tcp,imap,SF,628,173,0,0,0,18,0,1,0,0,0,0,2,0,4,0,0,0,470,21,0.05,0.1,0.06,0.42,0.95,0.02,0.02,196,164,0.97,0.1,0.19,0.19,0.01,0.03,0.0,0.15,normal,0
0.22,udp,pop3,SF,1693,172,0,0,0,3,0,0,2,0,0,0,2,0,3,0,0,0,229,390,0.48,0.65,0.14,0.01,0.0,0.14,0.0,167,99,0.59,0.08,0.0,0.02,0.97,0.09,0.09,0.06,neptune,1
0.79,tcp,http,S0,1115,420,0,0,0,9,0,1,2,0,0,0,1,0,4,0,0,1,43,57,0.01,0.03,0.03,0.08,0.89,0.04,0.05,193,5,0.85,0.43,0.13,0.07,0.07,0.09,0.07,0.03,normal,0
0.22,icmp,ssh,S2,651,103,0,0,0,4,0,1,9,0,0,0,1,0,0,0,0,0,288,470,0.87,0.14,0.25,0.03,0.08,0.24,0.11,18,155,0.12,0.12,0.09,0.04,0.88,0.61,0.21,0.13,neptune,1
